iter	RMSE
726	2496413.134
727	2495923.967
728	2495724.869
729	2495583.381
730	2495288.724
731	2495150.44
732	2494981.37
733	2494661.061
734	2494426.28
735	2494189.642
736	2494035.789
737	2493844.897
738	2493608.085
739	2493368.624
740	2493270.146
741	2493112.855
742	2492904.081
743	2492729.406
744	2492600.672
745	2492352.302
746	2492116.879
747	2491996.323
748	2491822.702
749	2491537.434
750	2491307.754
751	2491175.268
752	2491027.544
753	2490860.902
754	2490608.463
755	2490464.299
756	2490302.969
757	2490109.502
758	2489853.482
759	2489687.114
760	2489562.387
761	2489449.696
762	2489334.328
763	2489200.9
764	2488921.994
765	2488676.26
766	2488451.642
767	2488369.124
768	2488179.953
769	2488025.594
770	2487857.114
771	2487596.948
772	2487428.745
773	2487208.665
774	2487097.168
775	2486990.567
776	2486809.303
777	2486402.419
778	2486207.919
779	2485936.858
780	2485675.151
781	2485464.629
782	2485173.432
783	2484849.236
784	2484686.861
785	2484573.263
786	2484243.168
787	2484154.269
788	2483917.743
789	2483704.16
790	2483455.972
791	2483319.009
792	2483133.574
793	2482845.06
794	2482736.791
795	2482593.02
796	2482436.183
797	2482256.136
798	2482083.929
799	2481836.578
800	2481663.088
801	2481534.691
802	2481293.045
803	2481174.918
804	2481018.463
805	2480819.059
806	2480677.218
807	2480518.895
808	2480366.338
809	2480201.735
810	2480057.408
811	2479864.128
812	2479719.621
813	2479580.73
814	2479399.456
815	2479247.099
816	2479093.883
817	2478913.602
818	2478662.047
819	2478533.709
820	2478445.47
821	2478254.85
822	2478092.174
823	2477954.657
824	2477823.335
825	2477681.931
826	2477548.773
827	2477368.641
828	2477305.387
829	2477078.046
830	2476779.422
831	2476453.066
832	2476141.224
833	2475927.188
834	2475784.555
835	2475558.982
836	2475418.606
837	2475280.651
838	2475150.031
839	2474916.767
840	2474776.693
841	2474615.697
842	2474480.875
843	2474283.783
844	2474108.035
845	2473938.24
846	2473785.984
847	2473661.861
848	2473577.134
849	2473440.819
850	2473276.09
851	2473107.15
852	2472919.336
853	2472680.05
854	2472448.968
855	2472298.51
856	2471988.135
857	2471789.023
858	2471677.379
859	2471431.909
860	2471259.344
861	2471087.437
862	2470880.896
863	2470729.955
864	2470575.143
865	2470374.97
866	2470183.536
867	2470022.01
868	2469877.271
869	2469763.997
870	2469623.945
871	2469446.496
872	2469231.057
873	2469075.817
874	2468868.304
875	2468733.483
876	2468587.185
877	2468325.621
878	2468148.331
879	2468025.186
880	2467933.417
881	2467645.268
882	2467414.236
883	2467224.281
884	2467050.158
885	2466927.43
886	2466730.735
887	2466513.674
888	2466272.889
889	2466109.139
890	2465989.009
891	2465695.771
892	2465443.484
893	2465255.761
894	2465050.317
895	2464923.144
896	2464853.804
897	2464713.685
898	2464625.237
899	2464484.603
900	2464107.882
901	2463913.04
902	2463769.853
903	2463670.747
904	2463516.308
905	2463233.687
906	2463082.89
907	2462806.704
908	2462695.457
909	2462615.528
910	2462510.46
911	2462273.599
912	2462067.128
913	2461782.176
914	2461643.949
915	2461349.396
916	2461104.138
917	2460993.854
918	2460809.533
919	2460641.039
920	2460341.684
921	2460213.346
922	2459962.394
923	2459828.905
924	2459627.575
925	2459385.346
926	2459177.515
927	2458999.664
928	2458931.231
929	2458756.467
930	2458631.786
931	2458490.732
932	2458309.563
933	2458137.397
934	2458005.021
935	2457837.05
936	2457654.762
937	2457514.955
938	2457425.53
939	2457252.81
940	2457037.406
941	2456898.786
942	2456744.946
943	2456521.925
944	2456318.016
945	2456166.613
946	2456102.406
947	2455938.596
948	2455828.016
949	2455701.818
950	2455414.534
951	2455273.246
952	2455083.164
953	2454945.271
954	2454789.501
955	2454525.892
956	2454346.235
957	2454264.34
958	2454163.727
959	2454018.182
960	2453852.859
961	2453747.387
962	2453695.025
963	2453557.785
964	2453470.35
965	2453333.001
966	2453070.582
967	2452881.143
968	2452752.002
969	2452638.468
970	2452492.826
971	2452242.671
972	2452039.469
973	2451909.459
974	2451737.046
975	2451573.966
976	2451359.304
977	2451287.974
978	2451060.861
979	2450971.797
980	2450850.446
981	2450728.28
982	2450577.023
983	2450455.259
984	2450286.232
985	2450105.461
986	2449840.407
987	2449716.723
988	2449641.786
989	2449491.492
990	2449324.372
991	2449145.612
992	2449005.402
993	2448871.635
994	2448724.463
995	2448548.27
996	2448475.777
997	2448338.275
998	2448186.166
999	2448019.576
